event,RMSE,MSE,MAE,WAE,time
mDette_deepdive::deepnet_gradientDescent_05,4.431,19.6338,3.2628,20.7622,7.39
mDette_deepdive::deepnet_gradientDescent_06,4.431,19.6338,3.2628,20.7622,7.68
mDette_deepdive::deepnet_gradientDescent_07,4.431,19.6338,3.2628,20.7622,7.41
mDette_deepdive::deepnet_gradientDescent_08,4.431,19.6338,3.2628,20.7622,7.42
mDette_deepdive::deepnet_gradientDescent_09,4.431,19.6338,3.2628,20.7622,7.33
mDette_deepdive::deepnet_gradientDescent_10,4.431,19.6338,3.2628,20.7622,7.38
mDette_deepdive::deepnet_momentum_01,4.199,17.6313,3.1011,18.5512,7.6
mDette_deepdive::deepnet_momentum_02,4.199,17.6313,3.1011,18.5512,7.83
mDette_deepdive::deepnet_momentum_03,4.199,17.6313,3.1011,18.5512,7.78
mDette_deepdive::deepnet_momentum_04,4.199,17.6313,3.1011,18.5512,7.44
mDette_deepdive::deepnet_momentum_05,4.199,17.6313,3.1011,18.5512,7.8
mDette_deepdive::deepnet_momentum_06,4.199,17.6313,3.1011,18.5512,7.39
mDette_deepdive::deepnet_momentum_07,4.199,17.6313,3.1011,18.5512,7.5
mDette_deepdive::deepnet_momentum_08,4.199,17.6313,3.1011,18.5512,7.47
mDette_deepdive::deepnet_momentum_09,4.199,17.6313,3.1011,18.5512,7.42
mDette_deepdive::deepnet_momentum_10,4.199,17.6313,3.1011,18.5512,7.5
mDette_deepdive::deepnet_rmsProp_01,2.7205,7.4011,1.8705,16.178,0.75
mDette_deepdive::deepnet_rmsProp_02,2.7205,7.4011,1.8705,16.178,0.75
mDette_deepdive::deepnet_rmsProp_03,2.7205,7.4011,1.8705,16.178,0.78
mDette_deepdive::deepnet_rmsProp_04,2.7205,7.4011,1.8705,16.178,0.77
mDette_deepdive::deepnet_rmsProp_05,2.7205,7.4011,1.8705,16.178,0.78
mDette_deepdive::deepnet_rmsProp_06,2.7205,7.4011,1.8705,16.178,0.79
mDette_deepdive::deepnet_rmsProp_07,2.7205,7.4011,1.8705,16.178,0.78
mDette_deepdive::deepnet_rmsProp_08,2.7205,7.4011,1.8705,16.178,0.82
mDette_deepdive::deepnet_rmsProp_09,2.7205,7.4011,1.8705,16.178,0.79
mDette_deepdive::deepnet_rmsProp_10,2.7205,7.4011,1.8705,16.178,0.77
mDette_deepdive::deepnet_adam_01,3.0971,9.5922,2.064,18.6373,0.75
mDette_deepdive::deepnet_adam_02,3.0971,9.5922,2.064,18.6373,0.75
mDette_deepdive::deepnet_adam_03,3.0971,9.5922,2.064,18.6373,0.75
mDette_deepdive::deepnet_adam_04,3.0971,9.5922,2.064,18.6373,0.79
mDette_deepdive::deepnet_adam_05,3.0971,9.5922,2.064,18.6373,0.78
mDette_deepdive::deepnet_adam_06,3.0971,9.5922,2.064,18.6373,0.75
mDette_deepdive::deepnet_adam_07,3.0971,9.5922,2.064,18.6373,0.75
mDette_deepdive::deepnet_adam_08,3.0971,9.5922,2.064,18.6373,0.75
mDette_deepdive::deepnet_adam_09,3.0971,9.5922,2.064,18.6373,0.74
mDette_deepdive::deepnet_adam_10,3.0971,9.5922,2.064,18.6373,0.75
mDette_deepnet::nn.train_BP_01,0.8367,0.7001,0.7033,2.1198,0.67
mDette_deepnet::nn.train_BP_02,0.6457,0.417,0.5107,3.0414,0.61
mDette_deepnet::nn.train_BP_03,0.4799,0.2303,0.3682,1.8636,0.63
mDette_deepnet::nn.train_BP_04,2.4199,5.856,1.7031,13.4323,0.64
mDette_deepnet::nn.train_BP_05,6.9913,48.8788,5.4611,22.4304,0.62
mDette_deepnet::nn.train_BP_06,2.6209,6.8689,1.9531,14.0216,0.6
mDette_deepnet::nn.train_BP_07,0.5012,0.2512,0.3864,1.7341,0.62
mDette_deepnet::nn.train_BP_08,1.2772,1.6312,1.1604,2.4823,0.67
mDette_deepnet::nn.train_BP_09,0.5799,0.3363,0.4627,1.9718,0.64
mDette_deepnet::nn.train_BP_10,4.8088,23.1249,3.183,20.7582,0.62
