event,RMSE,MSE,MAE,WAE,time
mRef153_RSNNS::mlp_SCG_01,3.8177,14.5749,2.8474,15.7996,0.33
mRef153_RSNNS::mlp_SCG_02,3.2526,10.5792,2.2229,14.4231,0.34
mRef153_RSNNS::mlp_SCG_03,3.2498,10.5614,2.2186,14.378,0.33
mRef153_RSNNS::mlp_SCG_04,3.5868,12.8652,2.6599,14.9127,0.33
mRef153_RSNNS::mlp_SCG_05,3.2841,10.785,2.2854,14.3806,0.3
mRef153_RSNNS::mlp_Std_Backpropagation_01,3.6319,13.1905,2.591,13.5603,0.2
mRef153_RSNNS::mlp_Std_Backpropagation_02,3.5707,12.7501,2.7034,12.9387,0.18
mRef153_RSNNS::mlp_Std_Backpropagation_03,3.6216,13.116,2.5817,16.3676,0.39
mRef153_RSNNS::mlp_Std_Backpropagation_04,3.6383,13.2371,2.7208,14.8068,0.2
mRef153_RSNNS::mlp_Std_Backpropagation_05,3.6806,13.5468,2.6701,15.9291,0.2
mRef153_snnR::snnR_none_01,4.3529,18.948,3.2423,15.2576,0.03
mRef153_snnR::snnR_none_02,4.3529,18.948,3.2423,15.2576,0.02
mRef153_snnR::snnR_none_03,4.7438,22.5034,3.3782,18.4888,0.02
mRef153_snnR::snnR_none_04,4.3529,18.948,3.2423,15.2576,0.01
mRef153_snnR::snnR_none_05,4.7438,22.5033,3.3782,18.4888,0.02
mRef153_traineR::train.nnet_none_01,3.5673,12.7259,2.6874,14.8856,0.02
mRef153_traineR::train.nnet_none_02,3.4757,12.0804,2.4373,13.3731,0
mRef153_traineR::train.nnet_none_03,3.3913,11.5012,2.4098,15.7461,0.02
mRef153_traineR::train.nnet_none_04,3.3381,11.1429,2.3049,13.0944,0
mRef153_traineR::train.nnet_none_05,3.1128,9.6893,2.18,12.6557,0.03
mRef153_validann::ann_Nelder-Mead_01,3.9952,15.9614,3.0024,14.4615,20.48
mRef153_validann::ann_Nelder-Mead_02,4.5694,20.8797,3.4858,16.6102,21.12
mRef153_validann::ann_Nelder-Mead_03,3.9234,15.3927,2.8301,13.7759,23.75
mRef153_validann::ann_Nelder-Mead_04,4.4212,19.5474,3.2736,17.9499,24.55
mRef153_validann::ann_Nelder-Mead_05,4.1325,17.0775,3.1924,14.2188,24.86
mRef153_validann::ann_BFGS_01,3.5653,12.7113,2.6562,14.7303,0.92
mRef153_validann::ann_BFGS_02,3.2262,10.4086,2.1814,14.0117,0.96
