event,RMSE,MSE,MAE,WAE,time
mFriedman_deepdive::deepnet_adam_08,0.0875,0.0077,0.0764,0.2699,0.8
mFriedman_deepdive::deepnet_adam_09,0.0875,0.0077,0.0764,0.2699,0.79
mFriedman_deepdive::deepnet_adam_10,0.0875,0.0077,0.0764,0.2699,0.8
mFriedman_deepnet::nn.train_BP_01,0.0528,0.0028,0.042,0.2056,0.62
mFriedman_deepnet::nn.train_BP_02,0.0447,0.002,0.0344,0.1857,0.64
mFriedman_deepnet::nn.train_BP_03,0.0937,0.0088,0.0789,0.2189,0.65
mFriedman_deepnet::nn.train_BP_04,0.0548,0.003,0.043,0.2265,0.62
mFriedman_deepnet::nn.train_BP_05,0.053,0.0028,0.042,0.2131,0.62
mFriedman_deepnet::nn.train_BP_06,0.0909,0.0083,0.0791,0.2038,0.66
mFriedman_deepnet::nn.train_BP_07,0.0923,0.0085,0.0801,0.2108,0.63
mFriedman_deepnet::nn.train_BP_08,0.0966,0.0093,0.0824,0.2763,0.62
mFriedman_deepnet::nn.train_BP_09,0.0743,0.0055,0.0559,0.1873,0.63
mFriedman_deepnet::nn.train_BP_10,0.0944,0.0089,0.0797,0.2239,0.61
mFriedman_elmNNRcpp::elm_train_extremeML_01,0.1973,0.0389,0.1598,0.5705,0
mFriedman_elmNNRcpp::elm_train_extremeML_02,0.1742,0.0304,0.1382,0.5969,0
mFriedman_elmNNRcpp::elm_train_extremeML_03,0.1687,0.0285,0.1324,0.54,0
mFriedman_elmNNRcpp::elm_train_extremeML_04,0.2075,0.0431,0.1679,0.5781,0
mFriedman_elmNNRcpp::elm_train_extremeML_05,0.1732,0.03,0.1375,0.6318,0
mFriedman_elmNNRcpp::elm_train_extremeML_06,0.1696,0.0288,0.1352,0.513,0
mFriedman_elmNNRcpp::elm_train_extremeML_07,0.1985,0.0394,0.1576,0.5905,0
mFriedman_elmNNRcpp::elm_train_extremeML_08,0.1964,0.0386,0.1637,0.5306,0
mFriedman_elmNNRcpp::elm_train_extremeML_09,0.1512,0.0229,0.1172,0.5192,0
mFriedman_elmNNRcpp::elm_train_extremeML_10,0.1587,0.0252,0.1228,0.5335,0
mFriedman_ELMR::OSelm_train.formula_extremeML_01,0.1537,0.0236,0.1202,0.4587,0.02
mFriedman_ELMR::OSelm_train.formula_extremeML_02,0.1701,0.0289,0.1352,0.5689,0.01
mFriedman_ELMR::OSelm_train.formula_extremeML_03,0.1719,0.0296,0.1366,0.5162,0.02
mFriedman_ELMR::OSelm_train.formula_extremeML_04,0.1809,0.0327,0.1434,0.5748,0.03
mFriedman_ELMR::OSelm_train.formula_extremeML_05,0.1657,0.0275,0.1297,0.5261,0.02
mFriedman_ELMR::OSelm_train.formula_extremeML_06,0.2114,0.0447,0.1678,0.6041,0.01
mFriedman_ELMR::OSelm_train.formula_extremeML_07,0.1695,0.0287,0.1334,0.5198,0.02
mFriedman_ELMR::OSelm_train.formula_extremeML_08,0.1936,0.0375,0.1585,0.5647,0
mFriedman_ELMR::OSelm_train.formula_extremeML_09,0.1683,0.0283,0.1344,0.4696,0.02
mFriedman_ELMR::OSelm_train.formula_extremeML_10,0.1481,0.0219,0.116,0.4722,0
mFriedman_EnsembleBase::Regression.Batch.Fit_none_01,0.0813,0.0066,0.0726,0.1858,0.09
mFriedman_EnsembleBase::Regression.Batch.Fit_none_02,0.0813,0.0066,0.0727,0.1885,0.1
mFriedman_EnsembleBase::Regression.Batch.Fit_none_03,0.0277,0.0008,0.0192,0.1314,0.09
mFriedman_EnsembleBase::Regression.Batch.Fit_none_04,0.0815,0.0066,0.0731,0.1947,0.1
mFriedman_EnsembleBase::Regression.Batch.Fit_none_05,0.0812,0.0066,0.0727,0.2002,0.1
mFriedman_EnsembleBase::Regression.Batch.Fit_none_06,0.0352,0.0012,0.0267,0.1372,0.08
mFriedman_EnsembleBase::Regression.Batch.Fit_none_07,0.0287,0.0008,0.0202,0.1383,0.09
mFriedman_EnsembleBase::Regression.Batch.Fit_none_08,0.0814,0.0066,0.0725,0.1878,0.1
mFriedman_EnsembleBase::Regression.Batch.Fit_none_09,0.0813,0.0066,0.0727,0.1867,0.1
