event,RMSE,MSE,MAE,WAE,time
uDreyfus2_keras::fit_adamax_07,0.1323,0.0175,0.1044,0.3544,6.8
uDreyfus2_keras::fit_adamax_08,0.3686,0.1359,0.2808,0.9595,2.17
uDreyfus2_keras::fit_adamax_09,0.1042,0.0109,0.0846,0.2642,4.43
uDreyfus2_keras::fit_adamax_10,0.3688,0.136,0.282,0.9671,1.95
uDreyfus2_keras::fit_nadam_01,0.146,0.0213,0.1185,0.3421,2.5
uDreyfus2_keras::fit_nadam_02,0.3604,0.1299,0.2813,0.9016,1.72
uDreyfus2_keras::fit_nadam_03,0.2096,0.044,0.1669,0.5491,1.64
uDreyfus2_keras::fit_nadam_04,0.3585,0.1285,0.2818,0.9078,1.36
uDreyfus2_keras::fit_nadam_05,0.2453,0.0602,0.1978,0.6533,3.25
uDreyfus2_keras::fit_nadam_06,0.193,0.0373,0.1492,0.5358,2.31
uDreyfus2_keras::fit_nadam_07,0.1446,0.0209,0.1157,0.4046,2.14
uDreyfus2_keras::fit_nadam_08,0.1853,0.0343,0.1466,0.4687,1.95
uDreyfus2_keras::fit_nadam_09,0.3598,0.1295,0.2831,0.9326,1.39
uDreyfus2_keras::fit_nadam_10,0.3738,0.1397,0.2846,0.8545,1.08
uDreyfus2_keras::fit_rmsprop_01,0.3715,0.138,0.2944,1.0489,0.94
uDreyfus2_keras::fit_rmsprop_02,0.3975,0.158,0.3017,1.2022,1.03
uDreyfus2_keras::fit_rmsprop_03,0.4274,0.1827,0.3206,1.3149,0.99
uDreyfus2_keras::fit_rmsprop_04,0.4105,0.1685,0.3062,1.2055,1.33
uDreyfus2_keras::fit_rmsprop_05,0.2481,0.0616,0.1861,0.7979,1.5
uDreyfus2_keras::fit_rmsprop_06,0.3875,0.1501,0.2887,0.969,0.88
uDreyfus2_keras::fit_rmsprop_07,0.1978,0.0391,0.1476,0.6084,2.04
uDreyfus2_keras::fit_rmsprop_08,0.2302,0.053,0.1844,0.5868,1.72
uDreyfus2_keras::fit_rmsprop_09,0.2987,0.0892,0.2337,0.9033,1.78
uDreyfus2_keras::fit_rmsprop_10,0.2766,0.0765,0.2171,0.7494,1.53
uDreyfus2_keras::fit_sgd_01,0.3693,0.1364,0.2757,0.9926,1.41
uDreyfus2_keras::fit_sgd_02,0.3614,0.1306,0.2802,0.9398,2.02
uDreyfus2_keras::fit_sgd_03,0.3631,0.1319,0.2788,0.9371,3.7
uDreyfus2_keras::fit_sgd_04,0.3725,0.1387,0.2816,0.9853,1.41
uDreyfus2_keras::fit_sgd_05,0.3715,0.138,0.2815,0.9633,1.48
uDreyfus2_keras::fit_sgd_06,0.3838,0.1473,0.2827,1.01,1.74
uDreyfus2_keras::fit_sgd_07,0.3734,0.1395,0.2814,0.9864,1.24
uDreyfus2_keras::fit_sgd_08,0.3741,0.14,0.2753,0.9778,1.39
uDreyfus2_keras::fit_sgd_09,0.2571,0.0661,0.1948,0.7867,7.45
uDreyfus2_keras::fit_sgd_10,0.3614,0.1306,0.2797,0.9226,1.86
uDreyfus2_MachineShop::fit_none_01,0.0906,0.0082,0.0724,0.2196,0.01
uDreyfus2_MachineShop::fit_none_02,0.1303,0.017,0.1013,0.2843,0.01
uDreyfus2_MachineShop::fit_none_03,0.0906,0.0082,0.0724,0.2203,0.02
uDreyfus2_MachineShop::fit_none_04,0.0906,0.0082,0.0725,0.2204,0.01
uDreyfus2_MachineShop::fit_none_05,0.0906,0.0082,0.0724,0.22,0.02
uDreyfus2_MachineShop::fit_none_06,0.0907,0.0082,0.0725,0.221,0.02
uDreyfus2_MachineShop::fit_none_07,0.1306,0.0171,0.1017,0.282,0.01
uDreyfus2_MachineShop::fit_none_08,0.0906,0.0082,0.0724,0.2198,0.02
uDreyfus2_MachineShop::fit_none_09,0.1123,0.0126,0.0901,0.2735,0.01
uDreyfus2_MachineShop::fit_none_10,0.1309,0.0171,0.1023,0.2827,0.01
uDreyfus2_minpack.lm::nlsLM_none_01,0.0906,0.0082,0.0723,0.2197,0.01
uDreyfus2_minpack.lm::nlsLM_none_02,0.0906,0.0082,0.0723,0.2197,0.01
uDreyfus2_minpack.lm::nlsLM_none_03,0.0906,0.0082,0.0723,0.2197,0.02
uDreyfus2_minpack.lm::nlsLM_none_04,0.0906,0.0082,0.0723,0.2197,0.01
uDreyfus2_minpack.lm::nlsLM_none_05,0.0906,0.0082,0.0723,0.2197,0.02
uDreyfus2_minpack.lm::nlsLM_none_06,0.0906,0.0082,0.0723,0.2197,0.03
uDreyfus2_minpack.lm::nlsLM_none_07,0.0906,0.0082,0.0723,0.2197,0.03
uDreyfus2_minpack.lm::nlsLM_none_08,0.0906,0.0082,0.0723,0.2197,0.01
uDreyfus2_minpack.lm::nlsLM_none_09,0.0906,0.0082,0.0723,0.2197,0.01
uDreyfus2_minpack.lm::nlsLM_none_10,0.0906,0.0082,0.0723,0.2197,0.01
uDreyfus2_monmlp::monmlp.fit_BFGS_01,0.0981,0.0096,0.0777,0.2357,0.08
uDreyfus2_monmlp::monmlp.fit_BFGS_02,0.0918,0.0084,0.0734,0.2348,0.08
uDreyfus2_monmlp::monmlp.fit_BFGS_03,0.1539,0.0237,0.1138,0.4689,0.07
uDreyfus2_monmlp::monmlp.fit_BFGS_04,0.1023,0.0105,0.0807,0.2614,0.07
uDreyfus2_monmlp::monmlp.fit_BFGS_05,0.1212,0.0147,0.0938,0.2832,0.06
uDreyfus2_monmlp::monmlp.fit_BFGS_06,0.091,0.0083,0.0728,0.2234,0.06
uDreyfus2_monmlp::monmlp.fit_BFGS_07,0.0964,0.0093,0.0757,0.2395,0.07
uDreyfus2_monmlp::monmlp.fit_BFGS_08,0.0909,0.0083,0.0727,0.2234,0.08
uDreyfus2_monmlp::monmlp.fit_BFGS_09,0.0922,0.0085,0.0739,0.2374,0.08
uDreyfus2_monmlp::monmlp.fit_BFGS_10,0.1211,0.0147,0.0929,0.2995,0.07
uDreyfus2_monmlp::monmlp.fit_Nelder-Mead_01,0.234,0.0547,0.1855,0.5075,0.11
uDreyfus2_monmlp::monmlp.fit_Nelder-Mead_02,0.2892,0.0836,0.2387,0.6482,0.22
uDreyfus2_monmlp::monmlp.fit_Nelder-Mead_03,0.2529,0.0639,0.1971,0.6313,0.13
uDreyfus2_monmlp::monmlp.fit_Nelder-Mead_04,0.1937,0.0375,0.1582,0.4597,0.15
uDreyfus2_monmlp::monmlp.fit_Nelder-Mead_05,0.2181,0.0476,0.1718,0.4812,0.16
uDreyfus2_monmlp::monmlp.fit_Nelder-Mead_06,0.1565,0.0245,0.1201,0.3646,0.11
uDreyfus2_monmlp::monmlp.fit_Nelder-Mead_07,0.1273,0.0162,0.0993,0.2956,0.14
uDreyfus2_monmlp::monmlp.fit_Nelder-Mead_08,0.2084,0.0434,0.1706,0.4573,0.12
uDreyfus2_monmlp::monmlp.fit_Nelder-Mead_09,0.2418,0.0584,0.1909,0.6464,0.13
uDreyfus2_monmlp::monmlp.fit_Nelder-Mead_10,0.1873,0.0351,0.1476,0.402,0.12
uDreyfus2_neuralnet::neuralnet_slr_01,0.4165,0.1735,0.3088,1.0893,0.01
uDreyfus2_neuralnet::neuralnet_slr_02,0.1674,0.028,0.1292,0.4981,0.01
uDreyfus2_neuralnet::neuralnet_slr_03,0.1478,0.0218,0.1131,0.4772,0.01
uDreyfus2_neuralnet::neuralnet_slr_04,0.1916,0.0367,0.1441,0.5485,0.02
uDreyfus2_neuralnet::neuralnet_slr_05,0.2671,0.0714,0.2142,0.6194,0.02
uDreyfus2_neuralnet::neuralnet_slr_06,0.3648,0.1331,0.2772,0.939,0.01
uDreyfus2_neuralnet::neuralnet_slr_07,0.3239,0.1049,0.2623,0.8046,0.01
uDreyfus2_neuralnet::neuralnet_slr_08,0.3608,0.1302,0.2783,0.9345,0.02
uDreyfus2_neuralnet::neuralnet_slr_09,0.3621,0.1311,0.2717,0.9437,0
