event,RMSE,MSE,MAE,WAE,time
uDmod1_deepdive::deepnet_rmsProp_07,0.1728,0.0299,0.1257,0.4478,0.57
uDmod1_deepdive::deepnet_rmsProp_08,0.1728,0.0299,0.1257,0.4478,0.57
uDmod1_deepdive::deepnet_rmsProp_09,0.1728,0.0299,0.1257,0.4478,0.58
uDmod1_deepdive::deepnet_rmsProp_10,0.1728,0.0299,0.1257,0.4478,0.56
uDmod1_deepdive::deepnet_adam_01,0.1178,0.0139,0.0797,0.4868,0.59
uDmod1_deepdive::deepnet_adam_02,0.1178,0.0139,0.0797,0.4868,0.59
uDmod1_deepdive::deepnet_adam_03,0.1178,0.0139,0.0797,0.4868,0.61
uDmod1_deepdive::deepnet_adam_04,0.1178,0.0139,0.0797,0.4868,0.62
uDmod1_deepdive::deepnet_adam_05,0.1178,0.0139,0.0797,0.4868,0.63
uDmod1_deepdive::deepnet_adam_06,0.1178,0.0139,0.0797,0.4868,0.59
uDmod1_deepdive::deepnet_adam_07,0.1178,0.0139,0.0797,0.4868,0.58
uDmod1_deepdive::deepnet_adam_08,0.1178,0.0139,0.0797,0.4868,0.58
uDmod1_deepdive::deepnet_adam_09,0.1178,0.0139,0.0797,0.4868,0.57
uDmod1_deepdive::deepnet_adam_10,0.1178,0.0139,0.0797,0.4868,0.59
uDmod1_deepnet::nn.train_BP_01,0.5786,0.3348,0.4896,1.0353,0.11
uDmod1_deepnet::nn.train_BP_02,0.097,0.0094,0.0766,0.2872,0.1
uDmod1_deepnet::nn.train_BP_03,0.0842,0.0071,0.0675,0.2328,0.1
uDmod1_deepnet::nn.train_BP_04,0.07,0.0049,0.0572,0.2243,0.1
uDmod1_deepnet::nn.train_BP_05,0.1768,0.0313,0.1282,0.4509,0.1
uDmod1_deepnet::nn.train_BP_06,0.5387,0.2902,0.4152,1.1115,0.11
uDmod1_deepnet::nn.train_BP_07,0.0793,0.0063,0.0637,0.1918,0.09
uDmod1_deepnet::nn.train_BP_08,0.1401,0.0196,0.0936,0.5698,0.11
uDmod1_deepnet::nn.train_BP_09,0.1833,0.0336,0.1389,0.5161,0.1
uDmod1_deepnet::nn.train_BP_10,0.0794,0.0063,0.0622,0.2221,0.1
uDmod1_elmNNRcpp::elm_train_extremeML_01,0.3373,0.1137,0.2875,0.8422,0
uDmod1_elmNNRcpp::elm_train_extremeML_02,0.3349,0.1121,0.2918,0.7598,0
uDmod1_elmNNRcpp::elm_train_extremeML_03,0.2911,0.0848,0.2386,0.6275,0
uDmod1_elmNNRcpp::elm_train_extremeML_04,0.3273,0.1071,0.2853,0.7666,0
uDmod1_elmNNRcpp::elm_train_extremeML_05,0.3353,0.1124,0.2877,0.8031,0
uDmod1_elmNNRcpp::elm_train_extremeML_06,0.3571,0.1275,0.2962,0.8369,0
uDmod1_elmNNRcpp::elm_train_extremeML_07,0.331,0.1095,0.2814,0.7778,0
uDmod1_elmNNRcpp::elm_train_extremeML_08,0.3362,0.1131,0.2943,0.7077,0
uDmod1_elmNNRcpp::elm_train_extremeML_09,0.3303,0.1091,0.287,0.7394,0
uDmod1_elmNNRcpp::elm_train_extremeML_10,0.2678,0.0717,0.2177,0.5856,0
uDmod1_ELMR::OSelm_train.formula_extremeML_01,0.3197,0.1022,0.269,0.879,0
uDmod1_ELMR::OSelm_train.formula_extremeML_02,0.3048,0.0929,0.2497,0.8167,0.02
